image_id,premise_similarity,premise_coverage_ratio,premise_min_sim,premise_max_sim,conclusion_similarity,conclusion_coverage_ratio,conclusion_min_sim,conclusion_max_sim
0,0.4591,0.5,0.3522,0.5661,0.465,0.3333,0.4258,0.526
1,0.6447,1.0,0.6447,0.6447,0.4695,0.3333,0.3704,0.6064
10,0.4222,0.1667,0.1067,0.5396,0.2102,0.0,0.1925,0.228
11,0.6023,0.5,0.4097,0.7949,0.6484,1.0,0.6343,0.6625
12,0.5896,0.5,0.4395,0.7397,0.5655,1.0,0.5655,0.5655
13,0.5381,1.0,0.5193,0.5569,0.6642,1.0,0.6642,0.6642
14,0.7295,1.0,0.7048,0.7541,0.6287,0.6667,0.4779,0.8076
16,0.6879,1.0,0.6879,0.6879,0.5266,0.5,0.4584,0.5949
2,0.3581,0.3333,-0.0442,0.7844,0.6351,1.0,0.6296,0.6405
21,0.2214,0.0,0.2214,0.2214,0.5645,1.0,0.5645,0.5645
23,0.4649,0.0,0.4353,0.4873,0.7835,1.0,0.7835,0.7835
24,0.4683,0.5,0.3994,0.5371,0.3844,0.0,0.3584,0.4103
25,0.4501,0.0,0.4276,0.4726,0.3162,0.5,0.1228,0.5096
28,0.7257,1.0,0.7257,0.7257,0.5878,1.0,0.5878,0.5878
29,0.4244,0.5,0.3384,0.5103,0.3294,0.0,0.3294,0.3294
30,0.4216,0.5,0.3075,0.5357,0.4301,0.3333,0.3495,0.5315
31,0.6161,1.0,0.5137,0.7186,0.2652,0.0,0.2594,0.271
32,0.4847,0.5,0.4159,0.5535,0.5049,0.5,0.4743,0.5356
34,0.3353,0.0,0.3353,0.3353,0.5152,1.0,0.5062,0.5242
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.5619,0.5,0.4538,0.67,0.509,0.5,0.4442,0.5738
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.523,0.5,0.4869,0.559,0.5006,0.5,0.4395,0.5618
43,0.489,0.5,0.3571,0.6209,0.4726,0.0,0.4718,0.4734
45,0.2988,0.0,0.0848,0.447,0.3586,0.0,0.34,0.3772
48,0.7682,1.0,0.6463,0.89,0.4689,0.0,0.4688,0.469
49,0.7076,1.0,0.6621,0.7426,0.5374,0.5,0.3547,0.7202
5,0.1178,0.0,0.0953,0.1403,0.1175,0.0,0.1175,0.1175
51,0.6722,1.0,0.6722,0.6722,0.3864,0.0,0.3864,0.3864
52,0.5531,1.0,0.5531,0.5531,0.4247,0.0,0.4247,0.4247
54,0.4056,0.0,0.4056,0.4056,0.3463,0.5,0.1421,0.5505
55,0.4089,0.0,0.4089,0.4089,0.5293,1.0,0.5293,0.5293
58,0.5052,0.5,0.37,0.6403,0.546,1.0,0.5003,0.5917
64,0.5375,0.5,0.4664,0.6086,0.4333,0.0,0.4227,0.4439
65,0.5391,0.75,0.2988,0.7355,0.3977,0.0,0.3763,0.4191
66,0.5375,0.6,0.3058,0.7839,0.5322,1.0,0.5079,0.5564
67,0.2693,0.0,0.1335,0.405,0.0323,0.0,0.0159,0.0486
68,0.4396,0.3333,0.3146,0.5379,0.639,1.0,0.6016,0.6764
69,0.491,0.0,0.491,0.491,0.3815,0.0,0.3815,0.3815
70,0.6333,0.6667,0.4582,0.7339,0.6055,1.0,0.584,0.6271
71,0.3342,0.0,0.1228,0.4808,0.2491,0.0,0.1631,0.3352
72,0.5751,1.0,0.5311,0.6018,0.5514,1.0,0.5514,0.5514
73,0.3988,0.0,0.3294,0.4406,0.2903,0.0,0.2792,0.3014
75,0.4188,0.25,0.2906,0.5438,0.6246,1.0,0.6246,0.6246
76,0.5174,0.5,0.2841,0.7506,0.411,0.0,0.3577,0.4642
77,0.5364,0.6667,0.4117,0.6019,0.5967,1.0,0.5212,0.7165
78,0.4841,0.5,0.4667,0.5014,0.563,1.0,0.563,0.563
79,0.6453,1.0,0.6022,0.6885,0.328,0.0,0.2237,0.4323
8,0.4624,0.5,0.1738,0.751,0.2267,0.0,0.2267,0.2267
80,0.5562,0.5,0.3506,0.7619,0.6316,1.0,0.5133,0.7499
81,0.5167,0.3333,0.3125,0.8456,0.3167,0.0,0.3167,0.3167
84,0.4943,0.0,0.4943,0.4943,0.4352,0.0,0.4352,0.4352
85,0.487,0.5,0.4621,0.5119,0.5378,1.0,0.5378,0.5378
86,0.714,1.0,0.714,0.714,0.71,1.0,0.71,0.71
89,0.475,0.5,0.3463,0.6037,0.3516,0.0,0.3444,0.3627
9,0.696,1.0,0.696,0.696,0.6525,1.0,0.635,0.67
90,0.2869,0.0,0.1568,0.3719,0.2602,0.0,0.2412,0.2792
91,0.5984,1.0,0.5984,0.5984,0.1937,0.0,0.1301,0.2428
