image_id,premise_similarity,premise_coverage_ratio,premise_min_sim,premise_max_sim,conclusion_similarity,conclusion_coverage_ratio,conclusion_min_sim,conclusion_max_sim
0,0.4294,0.5,0.337,0.5218,0.4721,0.3333,0.3566,0.5689
1,0.4477,0.0,0.4477,0.4477,0.5138,0.6667,0.3309,0.67
10,0.5389,0.5,0.4119,0.7309,0.7837,1.0,0.7749,0.7925
11,0.6893,1.0,0.5045,0.8741,0.7852,1.0,0.7546,0.8157
12,0.6506,1.0,0.5888,0.7124,0.5673,1.0,0.5673,0.5673
13,0.6351,1.0,0.6135,0.6567,0.7713,1.0,0.7713,0.7713
14,0.7762,1.0,0.7628,0.7896,0.5862,0.6667,0.4344,0.6865
16,0.6855,1.0,0.6855,0.6855,0.5136,0.5,0.4972,0.5301
2,0.379,0.3333,0.0052,0.7186,0.639,1.0,0.5324,0.7457
21,0.4539,0.0,0.4539,0.4539,0.5732,1.0,0.5732,0.5732
23,0.7718,1.0,0.658,0.8755,0.6571,1.0,0.6571,0.6571
24,0.3519,0.0,0.2268,0.4769,0.3733,0.0,0.36,0.3867
25,0.4679,0.5,0.3541,0.5817,0.3501,0.0,0.2649,0.4354
28,0.623,1.0,0.623,0.623,0.6709,1.0,0.6709,0.6709
29,0.2582,0.0,0.1334,0.383,0.3223,0.0,0.3223,0.3223
30,0.3421,0.0,0.2098,0.4745,0.4787,0.3333,0.3986,0.5432
31,0.6701,1.0,0.6602,0.68,0.5833,1.0,0.5353,0.6313
32,0.4642,0.0,0.4469,0.4815,0.5463,0.5,0.4746,0.618
34,0.5109,1.0,0.5109,0.5109,0.6015,1.0,0.5574,0.6456
36,0.0,0.0,0.0,0.0,0.2267,0.0,0.2267,0.2267
39,0.4369,0.5,0.1591,0.7148,0.5196,0.5,0.491,0.5483
40,0.2733,0.0,0.2544,0.2922,0.4237,0.0,0.4237,0.4237
41,0.4547,0.5,0.215,0.6943,0.5629,1.0,0.5329,0.5929
43,0.0,0.0,0.0,0.0,0.3484,0.0,0.2869,0.4098
45,0.5716,0.3333,0.48,0.7436,0.6361,1.0,0.5495,0.7227
48,0.4681,0.5,0.4173,0.519,0.5145,0.5,0.4673,0.5617
49,0.5291,0.6667,0.293,0.7298,0.6038,1.0,0.569,0.6387
5,0.1903,0.0,0.1419,0.2386,0.432,0.0,0.432,0.432
51,0.7227,1.0,0.7227,0.7227,0.1765,0.0,0.1765,0.1765
52,0.6327,1.0,0.6327,0.6327,0.7182,1.0,0.7182,0.7182
54,0.5522,1.0,0.5522,0.5522,0.5899,0.5,0.454,0.7258
55,0.5283,1.0,0.5283,0.5283,0.4609,0.0,0.4609,0.4609
58,0.5015,0.5,0.3409,0.6621,0.6294,1.0,0.5555,0.7034
64,0.4185,0.0,0.3948,0.4422,0.5203,0.5,0.4661,0.5746
65,0.4495,0.5,0.0919,0.7624,0.4332,0.0,0.4027,0.4637
66,0.0,0.0,0.0,0.0,0.5691,0.5,0.4869,0.6513
67,0.4101,0.5,0.1485,0.6716,0.4889,0.5,0.4651,0.5127
68,0.6613,1.0,0.5028,0.7515,0.59,1.0,0.5631,0.617
69,0.4561,0.0,0.4561,0.4561,0.5459,1.0,0.5459,0.5459
70,0.6651,1.0,0.5396,0.7889,0.5382,0.5,0.4989,0.5776
71,0.5603,0.5,0.408,0.7929,0.5459,0.5,0.3902,0.7017
72,0.5437,0.6667,0.4837,0.593,0.5254,1.0,0.5254,0.5254
73,0.5967,0.6,0.437,0.7143,0.5736,0.5,0.3379,0.8092
75,0.5194,0.75,0.3424,0.6495,0.5107,1.0,0.5107,0.5107
76,0.6824,0.5,0.4287,0.9361,0.461,0.0,0.4222,0.4998
77,0.6284,1.0,0.5421,0.7213,0.371,0.0,0.3062,0.414
78,0.563,1.0,0.5087,0.6173,0.6539,1.0,0.6539,0.6539
79,0.5145,0.5,0.4986,0.5303,0.5189,0.5,0.3976,0.6402
8,0.5608,0.5,0.4491,0.6726,0.3214,0.0,0.3214,0.3214
80,0.6484,1.0,0.5471,0.7496,0.6683,1.0,0.6349,0.7016
81,0.4226,0.3333,0.2563,0.6468,0.3686,0.0,0.3686,0.3686
84,0.4454,0.0,0.4454,0.4454,0.5163,1.0,0.5163,0.5163
85,0.547,1.0,0.509,0.5851,0.6533,1.0,0.6533,0.6533
86,0.8381,1.0,0.8381,0.8381,0.7108,1.0,0.7108,0.7108
89,0.0,0.0,0.0,0.0,0.4215,0.0,0.3148,0.4933
9,0.9082,1.0,0.9082,0.9082,0.6618,1.0,0.633,0.6905
90,0.6372,0.6667,0.2588,0.8482,0.6447,1.0,0.6119,0.6774
91,0.4663,0.0,0.4663,0.4663,0.3755,0.0,0.295,0.42
