image_id,premise_similarity,premise_coverage_ratio,premise_min_sim,premise_max_sim,conclusion_similarity,conclusion_coverage_ratio,conclusion_min_sim,conclusion_max_sim
0,0.5561,0.5,0.4923,0.6198,0.3907,0.0,0.3024,0.4912
1,0.4622,0.0,0.4622,0.4622,0.4244,0.3333,0.3658,0.5078
10,0.4629,0.5,0.2043,0.5907,0.7966,1.0,0.7587,0.8344
11,0.6933,1.0,0.5175,0.8691,0.7001,1.0,0.6686,0.7315
12,0.7649,1.0,0.6372,0.8927,0.4692,0.0,0.4692,0.4692
13,0.6078,1.0,0.5905,0.625,0.5067,1.0,0.5067,0.5067
14,0.7705,1.0,0.7646,0.7763,0.5384,0.6667,0.3454,0.6427
16,0.5772,1.0,0.5772,0.5772,0.416,0.0,0.3644,0.4675
2,0.6606,1.0,0.5284,0.857,0.6389,1.0,0.5662,0.7116
21,0.5775,1.0,0.5775,0.5775,0.5977,1.0,0.5977,0.5977
23,0.8145,1.0,0.6411,0.9281,0.358,0.0,0.358,0.358
24,0.3757,0.5,0.118,0.6335,0.4427,0.0,0.4409,0.4445
25,0.4969,0.5,0.4017,0.5922,0.4376,0.5,0.3145,0.5607
28,0.6274,1.0,0.6274,0.6274,0.689,1.0,0.689,0.689
29,0.4684,0.5,0.2509,0.6859,0.4478,0.0,0.4478,0.4478
30,0.6493,1.0,0.6442,0.6544,0.444,0.3333,0.3931,0.5118
31,0.6747,1.0,0.5663,0.783,0.6226,1.0,0.5486,0.6967
32,0.5745,1.0,0.515,0.6339,0.3894,0.0,0.334,0.4449
34,0.613,1.0,0.613,0.613,0.5277,0.5,0.4804,0.575
36,0.4909,0.3333,0.3968,0.6159,0.4846,0.0,0.4846,0.4846
39,0.4579,0.5,0.183,0.7328,0.3873,0.0,0.2977,0.4769
40,0.4592,0.5,0.3821,0.5363,0.442,0.0,0.442,0.442
41,0.6541,1.0,0.6461,0.662,0.6102,1.0,0.599,0.6214
43,0.5756,1.0,0.5548,0.5964,0.5842,1.0,0.5294,0.6391
45,0.5703,1.0,0.5193,0.6514,0.5807,1.0,0.5485,0.6128
48,0.5476,0.5,0.4642,0.6311,0.5775,0.5,0.4939,0.6611
49,0.6117,0.6667,0.4141,0.7588,0.471,0.5,0.4156,0.5263
5,0.2458,0.0,0.2051,0.2865,0.3785,0.0,0.3785,0.3785
51,0.5685,1.0,0.5685,0.5685,0.375,0.0,0.375,0.375
52,0.5405,1.0,0.5405,0.5405,0.6306,1.0,0.6306,0.6306
54,0.6566,1.0,0.6566,0.6566,0.418,0.0,0.3976,0.4383
55,0.5742,1.0,0.5742,0.5742,0.5482,1.0,0.5482,0.5482
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.7014,1.0,0.5579,0.8448,0.6056,1.0,0.5166,0.6947
65,0.6537,1.0,0.6104,0.7093,0.4691,0.0,0.4533,0.485
66,0.643,1.0,0.518,0.7838,0.5059,0.5,0.3958,0.6159
67,0.5617,0.5,0.4853,0.6381,0.6479,1.0,0.5303,0.7655
68,0.4147,0.3333,0.2419,0.5061,0.5912,1.0,0.5767,0.6058
69,0.6144,1.0,0.6144,0.6144,0.5029,1.0,0.5029,0.5029
70,0.5998,0.6667,0.4472,0.76,0.5042,0.5,0.4208,0.5876
71,0.4525,0.5,0.3338,0.5484,0.3479,0.0,0.2135,0.4823
72,0.5736,0.6667,0.5,0.6415,0.4888,0.0,0.4888,0.4888
73,0.5241,0.6,0.3961,0.7547,0.4516,0.5,0.3672,0.536
75,0.5092,0.5,0.3349,0.6138,0.4665,0.0,0.4665,0.4665
76,0.4888,0.5,0.3399,0.6378,0.2635,0.0,0.2156,0.3114
77,0.632,1.0,0.565,0.6946,0.5684,0.6667,0.3974,0.6681
78,0.546,0.5,0.4116,0.6803,0.6879,1.0,0.6879,0.6879
79,0.6327,1.0,0.5734,0.692,0.4097,0.5,0.3063,0.5131
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
